column,missing_count,missing_percentage,min,max,mean,std,unique_count
timestamp,0,0.0,,,,,291
station_id,0,0.0,,,,,7
station_name,0,0.0,,,,,7
city,0,0.0,,,,,7
state,0,0.0,,,,,6
latitude,0,0.0,12.9944,28.5667,20.18405463059314,5.328201546232484,7
longitude,0,0.0,72.6346,88.4467,77.65554203954213,5.250899163578694,7
altitude_m,0,0.0,6.0,915.0,188.89167533818937,313.4256563604341,7
temperature_c,6,0.312,8.0,40.0,20.80427974947808,6.197635447736071,35
pressure_hpa,1,0.052,-999.0,1029.12,997.6460489328475,156.129277968664,24
relative_humidity_pct,1,0.052,17.6,100.0,69.094638209266,20.52204067649934,248
source,0,0.0,,,,,1
is_anomaly,0,0.0,0.0,1.0,0.036420395421436005,0.1873825466871633,2
anomaly_type,0,0.0,,,,,12
anomaly_subtype,0,0.0,,,,,12
anomaly_severity,0,0.0,,,,,4
fault_parameter,0,0.0,,,,,5
fault_source,0,0.0,,,,,2
ground_truth_reason,0,0.0,,,,,14
hour,0,0.0,0.0,23.0,11.656607700312176,6.769706271293216,24
day,0,0.0,1.0,6.0,3.5093652445369408,1.708345474754195,6
month,0,0.0,1.0,1.0,1.0,0.0,1
day_of_year,0,0.0,1.0,6.0,3.5093652445369408,1.708345474754195,6
season,0,0.0,,,,,1
is_daytime,0,0.0,0.0,1.0,0.5213319458896982,0.4996747459633371,2
temperature_rate_change,14,0.728,-17.0,19.0,-0.002620545073375262,1.3051500322018457,22
pressure_rate_change,9,0.468,-2012.88,2011.87,-0.4830789336121276,87.29592211237794,31
humidity_rate_change,9,0.468,-64.5,39.1,-0.029587036069001572,4.582833929707637,331
nearest_station_id,0,0.0,,,,,5
distance_to_nearest_station_km,0,0.0,105.10134325016924,1311.5126317276297,469.94541990997755,407.2222027043463,5
neighbor_temperature_difference,189,9.834,-28.0,23.0,0.11656087709174841,6.794863755145435,48
neighbor_pressure_difference,182,9.469,-1001.02,26.100000000000023,-9.549367816091953,92.46314128704148,69
neighbor_humidity_difference,183,9.521,-68.3,60.1,1.797354801610121,21.982342634611506,867
sensor_health_score,0,0.0,54.0,100.0,98.72736732570239,5.528645787812261,25
maintenance_required,0,0.0,0.0,1.0,0.03485952133194589,0.18347165741278595,2
predicted_failure_risk,0,0.0,0.02,0.49,0.03510405827263268,0.05997387592107151,25
